"","Position","Track.Name","Artist","Streams","URL","Date","Region","track_id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"33","32","I Like It","Cardi B","1614296","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-11-01","global","58q2HKrzhC3ozto2nDdN4z","4kYSro6naA4h99UJvo89HB;4q3ewBCX7sLwd24euuV69X;1vyhD5VmyZ7KMfW5gqLgo5",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4,"spotify:track:58q2HKrzhC3ozto2nDdN4z","https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z"
"34","33","Taste (feat. Offset)","Tyga","1547824","https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy","2018-11-01","global","5IaHrVsrferBYDm0bDyABy","5LHRHt1k9lMyONurDHEdrp;4DdkRBBYG6Yk9Ka8tdJ9BW",0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959,4,"spotify:track:5IaHrVsrferBYDm0bDyABy","https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy"
"35","34","No Stylist","French Montana","1514302","https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A","2018-11-01","global","04MLEeAMuV9IlHEsD8vF6A","6vXTefBL93Dj5IqAWq6OTv;3TVXtAsR1Inumwj472S9r4",0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,192172,4,"spotify:track:04MLEeAMuV9IlHEsD8vF6A","https://api.spotify.com/v1/audio-analysis/04MLEeAMuV9IlHEsD8vF6A"
"36","35","Natural","Imagine Dragons","1467767","https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP","2018-11-01","global","4zIO3ilp5HvTeK3HJHxhMP","53XhwfbYqKCa1cC15pYq2q",0.448,0.612,2,-6.106,1,0.0708,0.216,0,0.08,0.213,97.773,189467,4,"spotify:track:4zIO3ilp5HvTeK3HJHxhMP","https://api.spotify.com/v1/audio-analysis/4zIO3ilp5HvTeK3HJHxhMP"
"37","36","Te Boté - Remix","Nio Garcia","1465049","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-11-01","global","3V8UKqhEK5zBkBb6d6ub8i","5hdhHgpxyniooUiQVaPxQ0;1fux65HMCBvfJHqlBc4Nno;4q3ewBCX7sLwd24euuV69X;1TtXnWcUs0FCkaZDPGYHdf;1i8SpTcr7yvPOmcqrbnVXY;1SupJlEpv7RS2tPNRaHViT",0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4,"spotify:track:3V8UKqhEK5zBkBb6d6ub8i","https://api.spotify.com/v1/audio-analysis/3V8UKqhEK5zBkBb6d6ub8i"
"38","37","Youngblood","5 Seconds of Summer","1450408","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","2018-11-01","global","2iUXsYOEPhVqEBwsqP70rE","5Rl15oVamLq7FbSb0NNBNy",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4,"spotify:track:2iUXsYOEPhVqEBwsqP70rE","https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE"
"39","38","Electricity (with Dua Lipa)","Silk City","1446227","https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk","2018-11-01","global","5N4erncE7kuUccm7zEmwzk","2X97ZAqRKRMYFIDqtvGgGc;6M2wZ9GZgrQXHCFfjv46we;5fMUXHkw8R8eOP2RNVYEZX;3hv9jJF3adDNsBSIQDqcjp",0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4,"spotify:track:5N4erncE7kuUccm7zEmwzk","https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk"
"40","39","rockstar (feat. 21 Savage)","Post Malone","1440953","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-11-01","global","0e7ipj03S05BNilyu5bRzt","246dkjvS1zLTtiykXe5h60;1URnnhqYAYcrqrcwql10ft",0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4,"spotify:track:0e7ipj03S05BNilyu5bRzt","https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt"
"41","40","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1421282","https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB","2018-11-01","global","2E124GmJRnBJuXbTb4cPUB","7gZfnEnfiaHzxARJ2LeXrf;0hCNtLu0JehylgoiP8L4Gh;3CbYyyd8wH3RT6t0jwpdzC",0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405,4,"spotify:track:2E124GmJRnBJuXbTb4cPUB","https://api.spotify.com/v1/audio-analysis/2E124GmJRnBJuXbTb4cPUB"
"42","41","Quiere Beber","Anuel AA","1365839","https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z","2018-11-01","global","3rPAD722s5FFNnwjC91t7Z","2R21vXR83lH98kGeO99Y66",0.773,0.57,8,-3.482,1,0.113,0.372,0.00524,0.108,0.772,95.038,187125,4,"spotify:track:3rPAD722s5FFNnwjC91t7Z","https://api.spotify.com/v1/audio-analysis/3rPAD722s5FFNnwjC91t7Z"
"43","42","Beautiful (feat. Camila Cabello)","Bazzi","1356403","https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF","2018-11-01","global","4VUwkH455At9kENOfzTqmF","4GvEc3ANtPPjt1ZJllr5Zl;4nDoRrQiYLoBzwC5BhVJzF",0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,180000,4,"spotify:track:4VUwkH455At9kENOfzTqmF","https://api.spotify.com/v1/audio-analysis/4VUwkH455At9kENOfzTqmF"
"44","43","Suncity (feat. Empress Of)","Khalid","1354710","https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN","2018-11-01","global","4AhSkRYioEIfGvCV19peYN","6LuN9FCkKOj5PcnpouEgny;5QuBVnBPEzwYvFrgBbwpmU",0.695,0.639,7,-6.897,0,0.153,0.107,0.000657,0.118,0.344,90.027,189493,4,"spotify:track:4AhSkRYioEIfGvCV19peYN","https://api.spotify.com/v1/audio-analysis/4AhSkRYioEIfGvCV19peYN"
"45","44","Fine China","Future","1349192","https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN","2018-11-01","global","5274I4mUMnYczyeXkGDWZN","1RyvyyTE3xzB2ZywiAwp0i;4MCBfE4596Uoi2O4DtmEMz",0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,141587,4,"spotify:track:5274I4mUMnYczyeXkGDWZN","https://api.spotify.com/v1/audio-analysis/5274I4mUMnYczyeXkGDWZN"
"46","45","High Hopes","Panic! At The Disco","1337857","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2018-11-01","global","1rqqCSm0Qe4I9rUvWncaom","20JZFwl6HVl6yg8a4H3ZqK",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4,"spotify:track:1rqqCSm0Qe4I9rUvWncaom","https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom"
"47","46","Always Remember Us This Way","Lady Gaga","1334190","https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk","2018-11-01","global","2rbDhOo9Fh61Bbu23T2qCk","1HY2Jd0NmPuamShAr6KMms",0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,210200,4,"spotify:track:2rbDhOo9Fh61Bbu23T2qCk","https://api.spotify.com/v1/audio-analysis/2rbDhOo9Fh61Bbu23T2qCk"
"48","47","Nonstop","Drake","1325453","https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct","2018-11-01","global","0TlLq3lA83rQOYtrqBqSct","3TVXtAsR1Inumwj472S9r4",0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4,"spotify:track:0TlLq3lA83rQOYtrqBqSct","https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct"
"49","48","Ruin My Life","Zara Larsson","1312506","https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU","2018-11-01","global","5tAa8Uaqr4VvA3693mbIhU","1Xylc3o4UrD53lo9CvFvVg",0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932,4,"spotify:track:5tAa8Uaqr4VvA3693mbIhU","https://api.spotify.com/v1/audio-analysis/5tAa8Uaqr4VvA3693mbIhU"
"50","49","Cuando Te Besé","Becky G","1308417","https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy","2018-11-01","global","2XXMDz7SPZ4mSFN1PXfHUy","4obzFoKoKRHIphyHzJ35G3;3vQ0GE3mI0dAaxIMYe5g7z",0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-06,0.106,0.295,100.048,254383,4,"spotify:track:2XXMDz7SPZ4mSFN1PXfHUy","https://api.spotify.com/v1/audio-analysis/2XXMDz7SPZ4mSFN1PXfHUy"
"51","50","Jocelyn Flores","XXXTENTACION","1295471","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2018-11-01","global","7m9OqQk4RVRkw9JJdeAw96","15UsOTVnJzReFVN1VCnxy4",0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4,"spotify:track:7m9OqQk4RVRkw9JJdeAw96","https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96"
"52","51","Wake Up in the Sky","Gucci Mane","1295405","https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq","2018-11-01","global","0QIjsbm2fh1cJ45XO9eGqq","13y7CgLHjMVRMDqxdx0Xdo;0du5cEVh5yTK9QJze8zA0C;46SHBwWsqBkxI7EeeBEQG7",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,204665,4,"spotify:track:0QIjsbm2fh1cJ45XO9eGqq","https://api.spotify.com/v1/audio-analysis/0QIjsbm2fh1cJ45XO9eGqq"
"53","52","This Feeling (feat. Kelsea Ballerini)","The Chainsmokers","1288087","https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N","2018-11-01","global","15kQGEy89K8deJcZVFEn0N","69GGBxA162lTqCwzJG5jLp;3RqBeV12Tt7A8xH3zBDDUF",0.539,0.651,1,-5.304,1,0.0432,0.0651,0,0.0662,0.474,105.159,199227,4,"spotify:track:15kQGEy89K8deJcZVFEn0N","https://api.spotify.com/v1/audio-analysis/15kQGEy89K8deJcZVFEn0N"
"54","53","Love Someone","Lukas Graham","1252367","https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r","2018-11-01","global","3id2EVGKc3eFAMn9nFnB0r","25u4wHJWxCA9vO0CzxAbK7",0.538,0.409,9,-6.581,0,0.0505,0.172,0,0.11,0.265,171.838,205440,4,"spotify:track:3id2EVGKc3eFAMn9nFnB0r","https://api.spotify.com/v1/audio-analysis/3id2EVGKc3eFAMn9nFnB0r"
"55","54","Rise","Jonas Blue","1176838","https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3","2018-11-01","global","3u1S1OmAUhx5DRlLrXqyp3","1HBjj22wzbscIZ9sEb5dyf;1INuLZXjjVbcJRyWvD1iSq",0.69,0.784,1,-4.653,1,0.032,0.323,0,0.203,0.669,106.066,194408,4,"spotify:track:3u1S1OmAUhx5DRlLrXqyp3","https://api.spotify.com/v1/audio-analysis/3u1S1OmAUhx5DRlLrXqyp3"
"56","55","No Es Justo","J Balvin","1174730","https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7","2018-11-01","global","5qFeMRz4TvetPmzjre9Dq7","1vyhD5VmyZ7KMfW5gqLgo5;21451j1KhjAiaYKflxBjr1",0.684,0.811,7,-4.494,1,0.0714,0.161,0.000363,0.0871,0.721,87.866,250840,4,"spotify:track:5qFeMRz4TvetPmzjre9Dq7","https://api.spotify.com/v1/audio-analysis/5qFeMRz4TvetPmzjre9Dq7"
