"","doc_id","text","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"345","1rgnBhdG2JDFTbYkYRZAku","They say, ""Oh my God, I see the way you shine;Take your hands, my dear, and place them both in mine"";You know you stopped me dead while I was passing by;And now I beg to see you dance just one more time;Ooh, I see you, see you, see you every time;And oh my, I, I like your style;You, you make me, make me, make me wanna cry;And now I beg to see you dance just one more time;So they say;Dance for me, dance for me, dance for me, oh-oh-oh;I've never seen anybody do the things you do before;They say;Move for me, move for me, move for me, ayy-ayy-ayy;And when you're done, I'll make you do it all again;I said, ""Oh my God, I see you walking by;Take my hands, my dear, and look me in my eyes"";Just like a monkey, I've been dancin' my whole life;But you just beg to see me dance just one more time;Ooh, I see you, see you, see you every time;And oh my, I, I like your style;You, you make me, make me, make me wanna cry;And now I beg to see you dance just one more time;So they say;Dance for me, dance for me, dance for me, oh-oh-oh;I've never seen anybody do the things you do before;They say;Move for me, move for me, move for me, ayy-ayy-ayy;And when you're done, I'll make you do it all again;They say;Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh;I've never seen anybody do the things you do before;They say;Move for me, move for me, move for me, ayy-ayy-ayy;And when you're done, I'll make you do it all again;Ooh, ooh, ooh, ooh, ooh;(Do it all again, do it all again, do it all again);Oh-oh, oh-oh, oh;Ooh, ooh, ooh, ooh, ooh-ooh;(Do it all again, do it all again, do it all again);Ooh, ah-ah, ah-ah;They say;Dance for me, dance for me, dance for me, oh-oh-oh;I've never seen anybody do the things you do before;They say;Move for me, move for me, move for me, ayy-ayy-ayy;And when you're done, I'll make you do it all again;They say;Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh;I've never seen anybody do the things you do before;They say;Move for me, move for me, move for me, ayy-ayy-ayy;And when you're done, I'll make you do it all again;All again",0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078
"348","1rqqCSm0Qe4I9rUvWncaom","High, high hopes;Had to have high, high hopes for a living;Shooting for the stars when I couldn't make a killing;Didn't have a dime but I always had a vision;Always had high, high hopes (High, high hopes);Had to have high, high hopes for a living;Didn't know how but I always had a feeling;I was gonna be that one in a million;Always had high, high hopes;Mama said, fulfill the prophecy;Be something greater, go make a legacy;Manifest destiny, back in the days;We wanted everything, wanted everything;Mama said, burn your biographies;Rewrite your history, light up your wildest dreams;Museum victories, every day;We wanted everything, wanted everything;Mama said don't give up, it's a little complicated;All tied up, no more love and I'd hate to see you waiting;Had to have high, high hopes for a living;Shooting for the stars when I couldn't make a killing;Didn't have a dime but I always had a vision;Always had high, high hopes;Had to have high, high hopes for a living;Didn't know how but I always had a feeling;I was gonna be that one in a million;Always had high, high hopes (High, high hopes);Mama said, it's uphill for oddities;The stranger crusaders, ain't ever wannabes;The weird and the novelties don't ever change;We wanted everything, wanted everything (High, high hopes);Stay up on that rise;Stay up on that rise and never come down, oh;Stay up on that rise;Stay up on that rise and never come down;Mama said don't give up, it's a little complicated;All tied up, no more love and I'd hate to see you waiting;They say it's all been done but they haven't seen the best of me-eh-eh-eh;So I got one more run and it's gonna be a sight to see-eh-eh-eh;Had to have high, high hopes for a living;Shooting for the stars when I couldn't make a killing;Didn't have a dime but I always had a vision;Always had high, high hopes (High, high hopes);Had to have high, high hopes for a living;Didn't know how but I always had a feeling;I was gonna be that one in a million;Always had high, high hopes (High, high hopes);Had to have high, high hopes for a living;Shooting for the stars when I couldn't make a killing;Didn't have a dime but I always had a vision;Always had high, high hopes;Had to have high, high hopes for a living;Didn't know how but I always had a feeling;I was gonna be that one in a million;Always had high, high hopes (High, high hopes)",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014
"379","1wJRveJZLSb1rjhnUHQiv6","Uh;Yeah;Oh, that's London On Da Track, run that shit back;We got London On Da Track;Swervin';How you look so perfect on your worst days?;Double C your purses, you deserve it;Niggas in your DM, they be thirsty (Thirsty), and in person;But you're curvin';Curvy little body, love your surface (Surface);Yeah, I'm all on your body, make you nervous;I like the way you keep up with your earnings;Yeah, it's okay, 'cause you swervin';I fuck you from the back and leave you turnin' (Turnin');The type to make you feel like I'm so worth it (Worth it);Blame my ex, that bitch, she did me dirty (Did me dirty);Had me fall in love and then she curved me;(on God, swear to God, I don't wanna leave you, no);New Louboutin, you would think I'm bleedin' from my toes;Dick all inside of you, make you freeze, make you pose;I want you to get up on your knees and your toes;I see one of my enemies, they gon' freeze like they cold;I swear I ain't no killer, but test me if you want;You don't want my adrenaline rushin', leave me alone (Leave me alone);So much shit up on my mind, I can't think, yeah;All my niggas rock designer like they scream (Grrat);Got the AP covered, diamonds with baguettes, yeah;I thought everything was right, that's when you left, yeah;Swervin' (Swervin');How you look so perfect on your worst days? (Worst days);Double C your purses, you deserve it;Niggas in your DM, they be thirsty (Thirsty), and in person (Person);But you're curvin';Curvy little body, love your surface (Surface);Yeah, I'm all on your body, make you nervous;I like the way you keep up with your earnings;Yeah, it's okay, you be swervin';Where these bitches at? I'm in the V with the tints;Got the FN on my body and the clip on hollow tips;Niggas say they gon' rob me and they still ain't do shit;Catch her waitin' in the lobby, I'ma give her this dick;Man, where these niggas at? Man, where these niggas at?;We gon' pull up big bodies with the Rugers in the back;I got Rugers and the MAC's, pump leave a nigga flat;Talkin' hot, we spin the block, we gon' leave him where he at;Like, where these niggas at? Ayy, where these niggas at?;I'ma pull up in the big body with the fuckin' MAC;If the opps try to turn my song off, run it back;Used to have the pack in my long johns, now I rap;If a nigga wanna act out, got the MAC out;I ain't got no fuckin' back-up, that's a man down;I ain't got the fuckin' forty, knock his teeth out;Spin back with the Ruger, air the block out;Swervin' (Swervin');How you look so perfect on your worst days? (Worst days);Double C your purses, you deserve it;Niggas in your DM, they be thirsty (Thirsty), and in person (Person);But you're curvin';Curvy little body, love your surface (Surface);Yeah, I'm all on your body, make you nervous;I like the way you keep up with your earnings;Yeah, it's okay, 'cause you swervin';The way that I live my life is amazing;Back to back big bodies, no more dreams, yeah;So much shit up on my mind, I couldn't think, yeah;All my niggas rock designer like they scream, yeah;Got the AP covered, diamonds with baguettes, yeah;Say my name in your song and it's lit, yeah;Been waiting for a nigga like this, yeah;We got London On Da Track",0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023
"390","1xzBco0xcoJEDXktl7Jxrr","16yrold Bitch!Daytrip took it to 10 I got hoes Callin' a young nigga phone (Ring  ring) Where's Ali with the mothafuckin' dope  (Bitch  bitch) I be ballin' like a mothafuckin' pro (Like a  huh  like a  huh) I be ballin' like my nigga Mo (Bamba  bitch) Sheck Wes  I ain't a mothafuckin' joke (Haha  hahahahaha) Steph Wes  stay with the fuckin' pole (Pa  pa  pa-pa) You fuck around and get poled (You get poled  bitch)'Cause I got hoes (So many fuckin' hoes) Callin' a young nigga phone (Ring-ring  ring  ring-ring  ring  ring-ring) Where's Ali with the (Bitch with the) mothafuckin' dope  (Huh) I be ballin' like a mothafuckin' pro (Like a mothafuckin' pro) I be ballin' like my nigga Mo (Bamba  Bamba) Sheck Wes got so many flows (I do it all) Call me Drake  how a nigga Oh! Fuck! Shit! Bitch! (Huh) Yeah  it's Sheck Wes and I'm gettin' really rich (Ching-ching) See how I caught it 'cause I'm really with the shits (Ping-ping) See me in the streets and I be really with a (Cling  cling)  with a Bad bitch (Bitch)  niggas straight rockin' (Rock) Niggas straight see me  when they see me  they be coppin' (What ) I'm the best drug dealer  nigga  come and cop it  (Got it) Young Sheck Wes  I'm like the fuckin' Green Goblin (Hahahaha) I got hoes (Hoes  ho) Callin' a young nigga phone  phone (Bitch) Where's Ali with the mothafuckin' dope  (With the mothafuckin' dope) Dope (With the mothafuckin' dope) With the mothafuckin' dope (Bitch) With the dope (Gettin' rich)  with my bros (Bitch  shit) I fucked your ho (Shit) And she ain't even let you know (Shit fucked up) Damn  this nigga nice  fuck is you talking about  ('Cause I got) Bitch (Hoes) And my nigga One-Six  my nigga Ali  the Daytrip nigga  fuck is niggas talking about  (I got hoes  shit Young Sheck Wes  I do it on the go) Uh  woah  uh",0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034
"396","1zB4vmk8tFRmM9UULNzbLB","Just a young gun with a quick fuse;I was uptight, wanna let loose;I was dreaming of bigger things;And wanna leave my own life behind;Not a ""Yes, sir,"" not a follower;Fit the box, fit the mold;Have a seat in the foyer, take a number;I was lightning before the thunder;Thunder, thunder;Thunder, thun-;Thunder, th-th-thunder, thunder;Thunder, thunder, thun-;Thunder, th-th-thunder, thunder;Thunder, feel the thunder (Thunder, thunder, thun-);Lightning and the thunder (Thunder, th-th-thunder, thunder);Thunder, feel the thunder (Thunder, thunder, thun-, thun-);Lightning and the thunder, thunder, thunder (Th-th-thunder);Thunder (Thun-, thun-);Kids were laughing in my classes;While I was scheming for the masses;Who do you think you are?;Dreaming 'bout being a big star;They say, ""You're basic,"" they say, ""You're easy"";You're always riding in the backseat;Now I'm smiling from the stage;While you were clapping in the nosebleeds;Thunder, thunder;Thunder, thun-;Thunder, th-th-thunder, thunder;Thunder, thunder, thun-;Thunder, th-th-thunder, thunder;Thunder, feel the thunder (Thunder, thunder, thun-);Lightning and the thunder (Thunder, th-th-thunder, thunder);Thunder, feel the thunder (Thunder, thunder, thun-, thun-);Lightning and the thunder, thunder, thunder (Th-th-thunder);Thunder (Thun-, thun-);Thunder, feel the thunder;Lightning then the thunder, thunder;Thunder, feel the thunder (Thunder, thunder, thun-);Lightning then the thunder, thunder (Thunder, th-th-thunder, thunder);Thunder, feel the thunder (Thunder, thunder, thun-, thun-);Lightning then the thunder, thunder (Th-th-thunder);Thunder, feel the thunder (Thunder, thunder, thun-)(Never give up, never give up);Lightning then the thunder, thunder (Thunder, th-th-thunder, thunder)(Never give up on your dreams);Thunder, feel the thunder (Thunder, thunder, thun-, thun-)(Never give up, never give up);Lightning then the thunder, thunder (Th-th-thunder)(Never give up on your dreams);Thunder, thunder, thun-;Thunder, th-th-thunder, thunder;Thunder, thunder, thun-;Thunder, th-th-thunder, thunder;(Woah-oh-ohh);Thunder, thunder, thun-;Thunder, th-th-thunder, thunder;(Woah-oh-ohh);Thunder, thunder, thun-;Thunder, th-th-thunder, thunder",0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997
"402","224EVTFiLsdQignUFLvDeH","Ya Ieh ieh Rafa Dalex (Uh-uh) Flow Yo no puedo compartirte Eres como la clave de mi celular No es necesario decirte que Yo te quiero pa'  no te quiero pa' nadie Solita pa'  no te comparto con nadie A mano armada fue que te Y como un loco anda Yo te quiero pa' mi  no te quiero pa' nadie Solita pa'  no te comparto con nadie A mano armada fue que te Y como un loco anda Que te siga buscando que no te va a encontrar Ahora conmigo y no te va a tocar Y que no trate de forzar porque le puede costar Y aunque no tenga lo podemos acostar Esto es sin hablar  porque no soy de roncar Pero eres  lo tienes que aceptar Que ahora conmigo es que vas a despertar Y solamente te puede imaginar Que te siga buscando que no te va a encontrar Ahora conmigo y no te va a tocar Y que no trate de forzar porque le puede costar Y aunque no tenga lo podemos acostar Yo te quiero pa'  no te quiero pa' nadie Solita pa'  no te comparto con nadie A mano armada fue que te Y como un loco anda Yo te quiero pa'  no te quiero pa' nadie Solita pa'  no te comparto con nadie A mano armada fue que te Y como un loco anda Y ahora yo soy el que te lo pone a ti sin condones Y ya no lo puede evitar Y si le duele que lo abandone o se me encojone Pa' que no te supo cuidar Baby  solo apaga tu Ponte la Balenciaga  dale  Cojamos carretera y Y como Y ahora yo soy el que te lo pone a ti sin condones Y ya no lo puede evitar Y si le duele que lo abandone o se me encojone Pa' que no te supo cuidar Yo no puedo compartirte Eres como la clave de mi celular No es necesario decirte que    Yo te quiero pa'  no te quiero pa' nadie Solita pa'  no te comparto con nadie A mano armada fue que te Y como un loco anda Yo te quiero pa'  no te quiero pa' nadie Solita pa'  no te comparto con nadie A mano armada fue que te Y como un loco anda Dalex Refrescante  Rafa Flow Rich Music Yo te quiero pa'",0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018
"405","22vgEDb5hykfaTwLuskFGD","We go together;Better than birds of a feather, you and me;We change the weather, yeah;I'm feelin' heat in December when you're 'round me;I've been dancin' on top of cars and stumblin' out of bars;I follow you through the dark, can't get enough;You're the medicine and the pain, the tattoo inside my brain;And, baby, you know it's obvious;I'm a sucker for you;You say the word and I'll go anywhere blindly;I'm a sucker for you, yeah;Any road you take, you know that you'll find me;I'm a sucker for all the subliminal things;No one knows about you (About you), about you (About you);And you're makin' the typical me break my typical rules;It's true, I'm a sucker for you, yeah;Don't complicate it (Yeah);'Cause I know you and you know everything about me;I can't remember (Yeah) all of the nights;I don't remember when you're 'round me (Oh, yeah, yeah);I've been dancin' on top of cars and stumblin' out of bars;I follow you through the dark, can't get enough;You're the medicine and the pain, the tattoo inside my brain;And, baby, you know it's obvious;I'm a sucker for you;You say the word and I'll go anywhere blindly;I'm a sucker for you, yeah;Any road you take, you know that you'll find me;I'm a sucker for all the subliminal things;No one knows about you (About you), about you (About you);And you're makin' the typical me break my typical rules;It's true, I'm a sucker for you, yeah (Uh);(I'm a sucker for you);I've been dancin' on top of cars and stumblin' out of bars;I follow you through the dark, can't get enough;You're the medicine and the pain, the tattoo inside my brain;And, baby, you know it's obvious;I'm a sucker for you, yeah;Say the word and I'll go anywhere blindly;I'm a sucker for you, yeah;Any road you take, you know that you'll find me;I'm a sucker for all the subliminal things;No one knows about you (About you), about you (About you);And you're makin' the typical me break my typical rules;It's true, I'm a sucker for you (Uh);I'm a sucker for you",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958
"415","25sgk305KZfyuqVBQIahim","Oh, she's sweet but a psycho;A little bit psycho;At night she's screamin', ""I'm-ma-ma-ma out my mind"";Oh, she's hot but a psycho;So left but she's right though;At night she's screamin', ""I'm-ma-ma-ma out my mind"";She'll make you curse, but she a blessing;She'll rip your shirt within a second;You'll be coming back, back for seconds;With your plate, you just can't help it;No, no;You'll play alo-o-ong, let her lead you o-o-on;You'll be saying, ""No, no"";Then saying, ""Yes, yes, yes,"" 'cause she messin' with your head;Oh, she's sweet but a psycho;A little bit psycho;At night she's screamin', ""I'm-ma-ma-ma out my mind"";Oh, she's hot but a psycho;So left but she's right though;At night she's screamin', ""I'm-ma-ma-ma out my mind"";Grab a cop gun kinda crazy;She's poison but tasty;Yeah, people say, ""Run, don't walk away"";'Cause she's sweet but a psycho;A little bit psycho;At night she screamin', ""I'm-ma-ma-ma out my mind"";See, someone said, ""Don't drink her potions;She'll kiss your neck with no emotion;When she's mean, you know you love it;She tastes so sweet, don't sugarcoat it"";No, no;You'll play alo-o-ong, let her lead you o-o-on;You'll be saying, ""No (No, no, no), no (No)"";Then saying, ""Yes, yes, yes,"" 'cause she messin' with your head;Oh, she's sweet but a psycho;A little bit psycho;At night she's screamin', ""I'm-ma-ma-ma out my mind"";Oh, she's hot but a psycho;So left but she's right though;At night she's screamin', ""I'm-ma-ma-ma out my mind"";Grab a cop gun kinda crazy;She's poison but tasty;Yeah, people say, ""Run, don't walk away"";'Cause she's sweet but a psycho;A little bit psycho;At night she screamin', ""I'm-ma-ma-ma out my mind"";You're just like me, you're out your mind;I know it's strange, we're both the crazy kind;You're tellin' me that I'm insane;Boy, don't pretend that you don't love the pain;Oh, she's sweet but a psycho;A little bit psycho;At night she's screamin', ""I'm-ma-ma-ma out my mind"";Oh, she's hot but a psycho;So left but she's right though;At night she's screamin', ""I'm-ma-ma-ma out my mind"";Grab a cop gun kinda crazy;She's poison but tasty;Yeah, people say ""Run, don't walk away"";'Cause she's sweet but a psycho;A little bit psycho;At night she screamin', ""I'm-ma-ma-ma out my mind""",0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002
"437","2bT1PH7Cw3J9p3t7nlXCdh","I can't write one song that's not about you;Can't drink without thinking about you;Is it too late to tell you that;Everything means nothing if I can't have you?;I'm in Toronto and I got this view;But I might as well be in a hotel room, yeah;It doesn't matter 'cause I'm so consumed;Spending all my nights reading texts from you;Oh, I'm good at keeping my distance;I know that you're the feeling I'm missing;You know that I hate to admit it;But everything means nothing if I can't have you;I can't write one song that's not about you;Can't drink without thinking about you;Is it too late to tell you that;Everything means nothing if I can't have you?;I can't write one song that's not about you;Can't drink without thinking about you;Is it too late to tell you that;Everything means nothing if I can't have you?;I'm so sorry that my timing's off;But I can't move on if we're still gonna talk;Is it wrong for me to not want half?;I want all of you, all the strings attached;Oh, I'm good at keeping my distance;I know that you're the feeling I'm missing;You know that I hate to admit it;But everything means nothing if I can't have you;I can't write one song that's not about you;Can't drink without thinking about you;Is it too late to tell you that;Everything means nothing if I can't have you?;I can't write one song that's not about you;Can't drink without thinking about you;Is it too late to tell you that;Everything means nothing if I can't have you?;I'm trying to move on, forget you, but I hold on;Everything means nothing, everything means nothing, babe;I'm trying to move on, forget you, but I hold on;Everything means nothing if I can't have you, no;I can't write one song that's not about you;Can't drink without thinking about you;Is it too late to tell you that;Everything means nothing if I can't have you? (Can't have you);I can't write one song that's not about you;Can't drink without thinking about you;Is it too late to tell you that;Everything means nothing if I can't have you?",0.691,0.823,2,-4.197,1,0.0623,0.487,0,0.134,0.87,123.935
"447","2dpaYNEQHiRxtZbfNsse99","Lately, I've been, I've been thinking;I want you to be happier, I want you to be happier;When the morning comes;When we see what we've become;In the cold light of day, we're a flame in the wind;Not the fire that we've begun;Every argument, every word we can't take back;'Cause with all that has happened;I think that we both know the way that this story ends;Then only for a minute;I want to change my mind;'Cause this just don't feel right to me;I wanna raise your spirits;I want to see you smile but;Know that means I'll have to leave;Know that means I'll have to leave;Lately, I've been, I've been thinking;I want you to be happier, I want you to be happier;When the evening falls;And I'm left there with my thoughts;And the image of you being with someone else;Well, it's eating me up inside;But we ran our course, we pretended we're okay;Now if we jump together, at least we can swim;Far away from the wreck we made;Then only for a minute;I want to change my mind;'Cause this just don't feel right to me;I wanna raise your spirits;I want to see you smile but;Know that means I'll have to leave;Know that means I'll have to leave;Lately, I've been, I've been thinking;I want you to be happier, I want you to be happier;So I'll go, I'll go;I will go, go, go;So I'll go, I'll go;I will go, go, go;Lately, I've been, I've been thinking;I want you to be happier, I want you to be happier;Even though I might not like this;I think that you'll be happier, I want you to be happier;Then only for a minute (Only for a minute);I want to change my mind;'Cause this just don't feel right to me (Right to me);I wanna raise your spirits (Wanna raise your spirits);I want to see you smile but;Know that means I'll have to leave;Know that means I'll have to leave;Lately, I've been, I've been thinking;I want you to be happier, I want you to be happier;So I'll go, I'll go;I will go, go, go",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015
"467","2Fxmhks0bxGSBdJ92vM42m","White shirt now red, my bloody nose;Sleepin', you're on your tippy toes;Creepin' around like no one knows;Think you're so criminal;Bruises on both my knees for you;Don't say thank you or please;I do what I want when I'm wanting to;My soul? So cynical;So you're a tough guy;Like it really rough guy;Just can't get enough guy;Chest always so puffed guy;I'm that bad type;Make your mama sad type;Make your girlfriend mad tight;Might seduce your dad type;I'm the bad guy;Duh;I'm the bad guy;I like it when you take control;Even if you know that you don't;Own me, I'll let you play the role;I'll be your animal;My mommy likes to sing along with me;But she won't sing this song;If she reads all the lyrics;She'll pity the men I know;So you're a tough guy;Like it really rough guy;Just can't get enough guy;Chest always so puffed guy;I'm that bad type;Make your mama sad type;Make your girlfriend mad tight;Might seduce your dad type;I'm the bad guy;Duh;I'm the bad guy, duh;I'm only good at bein' bad, bad;I like when you get mad;I guess I'm pretty glad that you're alone;You said she's scared of me?;I mean, I don't see what she sees;But maybe it's 'cause I'm wearing your cologne;I'm a bad guy;I'm a bad guy;Bad guy, bad guy;I'm a bad",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
"472","2H4gf1wLxvYreMj1jcaN0k","I look up from the ground;To see your sad and teary eyes;You look away from me;And I see there's something you're trying to hide;And I reach for your hand but it's cold;You pull away again;And I wonder what's on your mind;And then you say to me you made a dumb mistake;You start to tremble and your voice begins to break;You say the cigarettes on the counter weren't your friend's;They were my mate's;And I feel the colour draining from my face;And my friend said;""I know you love her, but it's over, mate;It doesn't matter, put the phone away;It's never easy to walk away, let her go;It'll be alright"";So I still look back at all the messages you'd sent;And I know it wasn't right, but it was fucking with my head;And everything deleted like the past, yeah, it was gone;And when I touched your face, I could tell you're moving on;But it's not the fact that you kissed him yesterday;It's the feeling of betrayal, that I just can't seem to shake;And everything I know tells me that I should walk away;But I just wanna stay;And my friend said;""I know you love her, but it's over, mate;It doesn't matter, put the phone away;It's never easy to walk away, let her go;It'll be okay;It's gonna hurt for a bit of time;So bottoms up, let's forget tonight;You'll find another and you'll be just fine;Let her go"";But nothing heals the past like time;And they can't steal;The love you're born to find;But nothing heals the past like time;And they can't steal;The love you're born to find;""I know you love her, but it's over, mate;It doesn't matter, put the phone away;It's never easy to walk away, let her go;It'll be okay;It's gonna hurt for a bit of time;So bottoms up, let's forget tonight;You'll find another and you'll be just fine;Let her go"";It'll be alright;It'll be alright;It'll be alright;It'll be alright;It'll be alright",0.551,0.537,11,-7.595,1,0.034,0.705,0,0.0802,0.493,126.421
"482","2IRZnDFmlqMuOrYOLnZZyc","Yeah(Wheezy outta here);Jeez, jeez;Back home, smokin' legal (Legal);I got more slaps than The Beatles (Beatles);Foreign shit runnin' on diesel, dawg;Playin' with my name, that shit is lethal, dawg (Who you say you was?);Don Corleone;Trust me, at the top it isn't lonely (Strapped);Everybody actin' like they know me, dawg;Don't just say you're down, you gotta show me (What you gotta do?);Bring the clip back empty (It's empty);You asked to see the boss, so they sent me, dawg (Sent me, dawg);I just broke her off with a 10-piece, dawg (10-piece, dawg);That ain't nothin', I'm just bein' friendly, dawg;It's just a lil' 10-piece for her;Just to blow it in the mall, doesn't mean that we're involved;I just... what? I just... uh, put a Richard on the card;I ain't grow up playin' ball, but I'll show you how the fuck you gotta do it;If you really wanna ball 'til you fall;When your back against the wall;And a bunch of niggas need you to go away;Still goin' bad on 'em anyway;Saw you last night, but did it broad day;Yeah, lot of Murakami in the hallway (What?);Got a sticky and I keep it at my dawg's place;Girl, I left your love at Magic, now it's all shade;Still goin' bad on you anyway;Woah, woah, ooh, woah;Woah, woah, ah;I could fit like 80 racks in my Amiris (80 racks);Me and Drizzy back-to-back, it's gettin' scary (Back-to-back);If you fuckin' with my opps, just don't come near me (Get outta my way);Put some bands all on your head like Jason Terry (Brrt, brrt, ooh);Richard Mille cost a Lambo (That's a Lambo);Known to keep the baddest bitches on commando (Salute);Every time I'm in my trap, I move like Rambo (Extended);Ain't a neighborhood in Philly that I can't go (That's a Fendi);For real;She said, ""Oh, you rich rich?"" (""You rich rich"");Bitch, I graduated, call me ""Big Fish"" (Marlin);I got Lori Harvey on my wish list (That's Lori);That's the only thing I want for Christmas (True story, uh);I've been had my way out here, yeah, know that's facts (Facts);You ain't livin' that shit you say, yeah, we know that's cap (That's cap);You ain't got to ask me when you see me, know I'm strapped (Brrt);DC, OVO, we back again, we goin' plat' (Ooh, ooh);It's just a lil' 10-piece for her;Just to blow it in the mall, doesn't mean that we're involved;I just... what? I just... uh, put a Richard on the card;I ain't grow up playin' ball, but I'll show you how the fuck you gotta do it;If you really wanna ball 'til you fall;When your back against the wall;And a bunch of niggas need you to go away;Still goin' bad on 'em anyway;Saw you last night, but did it broad day;Wheezy outta here",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003
"484","2iUXsYOEPhVqEBwsqP70rE","Remember the words you told me;""Love me 'til the day I die"";Surrender my everything;'Cause you made me believe you're mine;Yeah, you used to call me baby;Now you're calling me by name;Takes one to know one, yeah;You beat me at my own damn game;You push and you push and I'm pulling away;Pulling away from you;I give and I give and I give and you take;Give and you take;Youngblood;Say you want me, say you want me out of your life;And I'm just a dead man walking tonight;But you need it, yeah, you need it all of the time;Yeah, ooh, ooh, ooh;Youngblood;Say you want me, say you want me back in your life;So I'm just a dead man crawling tonight;'Cause I need it, yeah, I need it all of the time;Yeah, ooh, ooh, ooh;Lately our conversations;End like it's the last goodbye;Then one of us gets too drunk;And calls about a hundred times;So, who you been calling baby?;Nobody could take my place;When you're looking at those strangers;Hope to God you see my face;Youngblood;Say you want me, say you want me out of your life;And I'm just a dead man walking tonight;But you need it, yeah, you need it all of the time;Yeah, ooh, ooh, ooh;Youngblood;Say you want me, say you want me back in your life;So I'm just a dead man crawling tonight;'Cause I need it, yeah, I need it all of the time;Yeah, ooh, ooh, ooh;You push and you push and I'm pulling away;Pulling away from you;I give and I give and I give and you take;Give and you take;You're running around and I'm running away;Running away from you, mmm, from you;Youngblood;Say you want me, say you want me out of your life;And I'm just a dead man walking tonight;But you need it, yeah, you need it all of the time;Yeah, ooh, ooh, ooh;Youngblood;Say you want me, say you want me back in your life;So I'm just a dead man crawling tonight;'Cause I need it, yeah, I need it all of the time;Yeah, ooh, ooh, ooh;You push and you push and I'm pulling away;Pulling away from you;I give and I give and I give and you take;Give and you take;Youngblood;Say you want me;Say you want me out of your life;And I'm just a dead man walking tonight",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274
