"","Region","Track.Name","Artist","total_stream","yearly_rank","track_id","artists","artists_IDs","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Artist_ID"
"11","ar","Con Altura","ROSALÍA",24945428,11,"2qG5sZ7Si6sdK74qLxedYM","ROSALÍA;J Balvin;El Guincho","7ltDVBr6mKbRvohxheJ9h1;1vyhD5VmyZ7KMfW5gqLgo5;1oMiDFyAgmIzw9ZBQYHOJI",0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,161627,4,"7ltDVBr6mKbRvohxheJ9h1"
"12","ar","Soltera - Remix","Lunay",23688533,12,"1c0hsvHLELX6y8qymnpLKL","Lunay;Daddy Yankee;Bad Bunny","47MpMsUfWtgyIIBEFOr4FE;4VMYDCV2IEDYJArk749S6m;4q3ewBCX7sLwd24euuV69X",0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,266087,4,"47MpMsUfWtgyIIBEFOr4FE"
"13","ar","MIA (feat. Drake)","Bad Bunny",21972657,13,"116H0KvKr2Zl4RPuVBruDO","Bad Bunny;Drake","4q3ewBCX7sLwd24euuV69X;3TVXtAsR1Inumwj472S9r4",0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,"4q3ewBCX7sLwd24euuV69X"
"14","ar","Cuando Te Besé","Becky G",21831467,14,"2XXMDz7SPZ4mSFN1PXfHUy","Becky G;Paulo Londra","4obzFoKoKRHIphyHzJ35G3;3vQ0GE3mI0dAaxIMYe5g7z",0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-06,0.106,0.295,100.048,254383,4,"4obzFoKoKRHIphyHzJ35G3"
"15","ar","Sin Culpa (feat. DrefQuila)","Duki",21791116,15,"3dLiBBKbeUIhzGNeuo5JGS","Duki;DrefQuila","1bAftSH8umNcGZ0uyV7LMg;5pughe5rcsOq3GF0utMOs5",0.641,0.652,8,-8.575,0,0.264,0.42,1.74e-06,0.094,0.406,175.022,244771,4,"1bAftSH8umNcGZ0uyV7LMg"
"16","ar","No Me Conoce - Remix","Jhay Cortez",20821380,16,"4R8BJggjosTswLxtkw8V7P","Jhay Cortez;J Balvin;Bad Bunny","0EFisYRi20PTADoJrifHrz;1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",0.806,0.786,10,-3.831,0,0.0741,0.145,0,0.0935,0.58,91.973,309120,4,"0EFisYRi20PTADoJrifHrz"
"17","ar","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",20486245,17,"4w8niZpiMy6qz1mntFA5uM","DJ Snake;Selena Gomez;Ozuna;Cardi B","540vIaP2JwjQb9dm3aArA4;0C8ZW7ezQVs4URX5aX7Kqx;1i8SpTcr7yvPOmcqrbnVXY;4kYSro6naA4h99UJvo89HB",0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4,"540vIaP2JwjQb9dm3aArA4"
"18","ar","Te Robaré","Nicky Jam",19800583,18,"6v0lAdFF4haL8xjBIUjtOw","Nicky Jam;Ozuna","1SupJlEpv7RS2tPNRaHViT;1i8SpTcr7yvPOmcqrbnVXY",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,201818,4,"1SupJlEpv7RS2tPNRaHViT"
"19","ar","Ya No Tiene Novio","Sebastian Yatra",19623232,19,"7uQmJ1jgNzBpATSoWKSPFu","Sebastian Yatra;Mau y Ricky","07YUOmWljBTXwIseAUd9TW;2wkoKEfS6dXwThbyTnZWFU",0.632,0.832,7,-1.948,0,0.154,0.048,0,0.0705,0.784,182.184,198933,4,"07YUOmWljBTXwIseAUd9TW"
"20","ar","Un Año","Sebastian Yatra",19507093,20,"2vrpcQNg6itmgVZWsNjWe0","Sebastian Yatra;Reik","07YUOmWljBTXwIseAUd9TW;0vR2qb8m9WHeZ5ByCbimq2",0.773,0.378,1,-7.062,0,0.0531,0.14,0,0.133,0.513,94.946,163813,4,"07YUOmWljBTXwIseAUd9TW"
"21","ar","Tumbando el Club (feat. C.R.O., Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix","Neo Pistea",19498934,21,"0OWcpVA83HI8Pb5DybDuoX","Neo Pistea;Cro;Obie Wanshot;Ysy A;Cazzu;Khea;Lucho SSJ;Coqeéin Montana;Marcianos Crew;Duki","01m2XZ7m7rAz6KY3scTdaV;0im9f5xAazs2rT6QzFEZ16;48vP5SxlTO6yOI7SLKIOQV;2qWK8K2Jfh67UqtwY8tCW6;6w3SkAHYPsQ1bxV7VDlG5y;4m6ubhNsdwF4psNf3R8kwR;1OBizG9nrnHJkrL9NjnWYN;4StQh17zinsbJ4r5ekmPj7;0Hkx0YcHHxDRRbH9WsSW0I;1bAftSH8umNcGZ0uyV7LMg",0.882,0.777,5,-4.445,1,0.0504,0.354,0,0.135,0.533,121.985,456940,4,"01m2XZ7m7rAz6KY3scTdaV"
"22","ar","Adictiva","Daddy Yankee",19337495,22,"6MJUCumnQsQEKbCy28tbCP","Daddy Yankee;Anuel AA","4VMYDCV2IEDYJArk749S6m;2R21vXR83lH98kGeO99Y66",0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4,"4VMYDCV2IEDYJArk749S6m"
"23","ar","Reggaeton","J Balvin",18881159,23,"2D3z17LBMJ2HEHeBFFjTLi","J Balvin","1vyhD5VmyZ7KMfW5gqLgo5",0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.101,0.552,176.059,158800,4,"1vyhD5VmyZ7KMfW5gqLgo5"
"24","ar","Me Vas a Extrañar - En Vivo","Damas Gratis",18843069,24,"3CACzG9I3AoKUKA3ODE5zW","Damas Gratis;Viru Kumbieron","3YeBTR1Q1rUxKguz4jP6UV;7edrtXagYn0nCFOwQp8AS1",0.419,0.809,11,-4.596,1,0.0357,0.323,0,0.699,0.635,88.418,238528,4,"3YeBTR1Q1rUxKguz4jP6UV"
"25","ar","Amanece","Anuel AA",18781591,25,"1LiN0Z98FkR1t0m8KmLcAH","Anuel AA;Haze","2R21vXR83lH98kGeO99Y66;77iZVjeYoYSl5P0K9mIiUE",0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,"2R21vXR83lH98kGeO99Y66"
"26","ar","Goteo","Duki",18768656,26,"1EoEU4HY57qaITp06TkC6B","Duki","1bAftSH8umNcGZ0uyV7LMg",0.473,0.779,1,-3.725,1,0.0414,0.186,0,0.189,0.438,108.287,164458,3,"1bAftSH8umNcGZ0uyV7LMg"
"27","ar","Señorita","Shawn Mendes",18751964,27,"0TK2YIli7K1leLovkQiNik","Shawn Mendes;Camila Cabello","7n2wHs1TKAczGzO7Dd2rGr;4nDoRrQiYLoBzwC5BhVJzF",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4,"7n2wHs1TKAczGzO7Dd2rGr"
"28","ar","Me Voy","Rombai",18523724,28,"22sESxzbY1O1E19xjOTaYf","Rombai","5KQX0Ui06LVm6PApyicRFK",0.531,0.752,9,-3.33,0,0.2,0.214,0,0.145,0.884,192.443,177787,4,"5KQX0Ui06LVm6PApyicRFK"
"29","ar","Verte Ir","DJ Luian",17897878,29,"4lzxJ4jCuFDXXGkE1LmpKR","DJ Luian;Mambo Kingz;Anuel AA;Nicky Jam;Darell;Brytiago","64aJYyrXljOodnUG6jvhRD;2T1aUibqR2QC2sINIDQOAK;2R21vXR83lH98kGeO99Y66;1SupJlEpv7RS2tPNRaHViT;1TtXnWcUs0FCkaZDPGYHdf;00XhexlJEXQstHimpZN910",0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,267500,4,"64aJYyrXljOodnUG6jvhRD"
"30","ar","22","TINI",17623632,30,"07L6tEZIfCX3GZAWCpGj0e","TINI;Greeicy","7vXDAI8JwjW531ouMGbfcp;5dbaLmK5SHLLg8Z4CcTJpX",0.704,0.643,1,-4.705,0,0.0903,0.00807,0,0.0895,0.806,176.038,159188,4,"7vXDAI8JwjW531ouMGbfcp"
"31","ar","Que Mas Pues - Remix","Sech",17421602,31,"1k1CJlU1eAEpAbNK0TVeKD","Sech;Justin Quiles;Maluma;Nicky Jam;Farruko;Dalex;Lenny Tavárez","77ziqFxp5gaInVrF2lj4ht;14zUHaJZo1mnYtn6IBRaRP;1r4hJ1h58CWwUQe3MxPuau;1SupJlEpv7RS2tPNRaHViT;329e4yvIujISKGKz1BZZbO;0KPX4Ucy9dk82uj4GpKesn;1pQWsZQehhS4wavwh7Fnxd",0.648,0.661,11,-5.027,1,0.195,0.121,2.33e-06,0.12,0.813,113.363,305962,5,"77ziqFxp5gaInVrF2lj4ht"
"32","ar","11 PM","Maluma",17098482,32,"7KbF6AdprOXEEHlsq11Z6d","Maluma","1r4hJ1h58CWwUQe3MxPuau",0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,175733,4,"1r4hJ1h58CWwUQe3MxPuau"
"33","ar","Cuaderno","Dalex",17016835,33,"7anSoGdgtmJTAPZBzcPhO6","Dalex;Nicky Jam;Justin Quiles;Sech;Lenny Tavárez;Feid;Rafa Pabön","0KPX4Ucy9dk82uj4GpKesn;1SupJlEpv7RS2tPNRaHViT;14zUHaJZo1mnYtn6IBRaRP;77ziqFxp5gaInVrF2lj4ht;1pQWsZQehhS4wavwh7Fnxd;2LRoIwlKmHjgvigdNGBHNo;11YLRSsZA3YVuQQtHXKTlz",0.681,0.648,1,-5.021,0,0.38,0.524,0,0.104,0.687,172.019,286507,4,"0KPX4Ucy9dk82uj4GpKesn"
"34","ar","HP","Maluma",16848225,34,"1LIqNVhaIgxXUt2eVoIQJ3","Maluma","1r4hJ1h58CWwUQe3MxPuau",0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4,"1r4hJ1h58CWwUQe3MxPuau"
"35","ar","Ella Quiere Beber - Remix","Anuel AA",16370325,35,"2cYnZNzFRFK0H7vSNxPsUq","Anuel AA;Romeo Santos","2R21vXR83lH98kGeO99Y66;5lwmRuXgjX8xIwlnauTZIP",0.751,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.698,95.239,219357,4,"2R21vXR83lH98kGeO99Y66"
"36","ar","CANGURO","WOS",16121742,36,"2UAWYufVaO3EnUUNzl0ppO","WOS","5YCc6xS5Gpj3EkaYGdjyNK",0.602,0.751,1,-4.358,1,0.327,0.173,0,0.667,0.934,163.874,196745,4,"5YCc6xS5Gpj3EkaYGdjyNK"
"37","ar","LA CANCIÓN","J Balvin",15347002,37,"0fea68AdmYNygeTGI4RC18","J Balvin;Bad Bunny","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4,"1vyhD5VmyZ7KMfW5gqLgo5"
"38","ar","Otro Trago - Remix","Sech",15080875,38,"4bTZeO72FwMa6wKOiqoynL","Sech;Ozuna;Anuel AA;Darell;Nicky Jam","77ziqFxp5gaInVrF2lj4ht;1i8SpTcr7yvPOmcqrbnVXY;2R21vXR83lH98kGeO99Y66;1TtXnWcUs0FCkaZDPGYHdf;1SupJlEpv7RS2tPNRaHViT",0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773,4,"77ziqFxp5gaInVrF2lj4ht"
"39","ar","Amigos Con Derechos","Reik",14822541,39,"2zDj4WjbNDmrRL6Z4YjjCA","Reik;Maluma","0vR2qb8m9WHeZ5ByCbimq2;1r4hJ1h58CWwUQe3MxPuau",0.686,0.807,1,-3.324,1,0.0613,0.0481,0,0.0652,0.63,183.971,227476,4,"0vR2qb8m9WHeZ5ByCbimq2"
"40","ar","Te Vi","Piso 21",14528675,40,"059bcIhyc2SBwm6sw2AZzd","Piso 21;Micro Tdh","4bw2Am3p9ji3mYsXNXtQcd;1aWJsBQa67l72j1VT3D6Ow",0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4,"4bw2Am3p9ji3mYsXNXtQcd"
"41","ar","Vaina Loca","Ozuna",14221790,41,"48zFZh27QU5qsrBjn4C2FA","Ozuna;Manuel Turizo","1i8SpTcr7yvPOmcqrbnVXY;0tmwSHipWxN12fsoLcFU3B",0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.982,176133,4,"1i8SpTcr7yvPOmcqrbnVXY"
"42","ar","Imposible","Luis Fonsi",13909154,42,"3ao3OVxHlb3C08vAaApUlm","Luis Fonsi;Ozuna","4V8Sr092TqfHkfAA5fXXqG;1i8SpTcr7yvPOmcqrbnVXY",0.786,0.764,11,-2.935,1,0.0798,0.122,0,0.102,0.913,90.979,163880,4,"4V8Sr092TqfHkfAA5fXXqG"
"43","ar","Créeme","KAROL G",13906636,43,"1mT47pKLXUwPYGwB91GcNz","KAROL G;Maluma","790FomKkXshlbRYZFtlgla;1r4hJ1h58CWwUQe3MxPuau",0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,212493,4,"790FomKkXshlbRYZFtlgla"
"44","ar","Cristina","Sebastian Yatra",13864312,44,"1Kjer1JoWuJGNwGV6Pbgv1","Sebastian Yatra","07YUOmWljBTXwIseAUd9TW",0.649,0.502,5,-4.368,1,0.0437,0.286,0,0.166,0.695,87,202040,3,"07YUOmWljBTXwIseAUd9TW"
"45","ar","Baila Baila Baila","Ozuna",13602580,45,"7uH27oIt4a6cIFCA8ZPcyG","Ozuna","1i8SpTcr7yvPOmcqrbnVXY",0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,158400,4,"1i8SpTcr7yvPOmcqrbnVXY"
"46","ar","Puntos Suspensivos","Piso 21",13571055,46,"04cd1MHVq1D8v1nuTZoCdv","Piso 21","4bw2Am3p9ji3mYsXNXtQcd",0.823,0.731,11,-3.399,0,0.103,0.175,0,0.131,0.952,152.024,186316,4,"4bw2Am3p9ji3mYsXNXtQcd"
"47","ar","La Cobra","j mena",13534840,47,"1tyJADhbLubvWFsRmmojMj","j mena","6iYRN5eaz8LSxvwkhmwkRj",0.843,0.729,11,-4.138,0,0.342,0.0576,0,0.0308,0.472,172.017,188627,4,"6iYRN5eaz8LSxvwkhmwkRj"
"48","ar","Nicki Nicole: Bzrp Music Sessions, Vol. 13","Bizarrap",13449474,48,"2S93hylQBYLndMnaJuso8S","Bizarrap;Nicki Nicole","716NhGYqD1jl2wI1Qkgq36;2UZIAOlrnyZmyzt1nuXr9y",0.81,0.471,8,-5.047,1,0.0496,0.00554,0.000197,0.134,0.391,75.003,143292,4,"716NhGYqD1jl2wI1Qkgq36"
"49","ar","Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)","Paulo Londra",12848966,49,"3H9GDhVVTlmFQSmpt51qiP","Paulo Londra;Ghetto;Justin Quiles","3vQ0GE3mI0dAaxIMYe5g7z;2YFFxNOPVf2vU3A4xA71l1;14zUHaJZo1mnYtn6IBRaRP",0.86,0.697,1,-4.727,1,0.0718,0.102,0,0.159,0.586,129.978,268794,4,"3vQ0GE3mI0dAaxIMYe5g7z"
"50","ar","No Te Creas Tan Importante - En Vivo","Damas Gratis",12470361,50,"3trowLiYwwOoiwapLISNyk","Damas Gratis;Viru Kumbieron","3YeBTR1Q1rUxKguz4jP6UV;7edrtXagYn0nCFOwQp8AS1",0.302,0.758,5,-5.273,1,0.0424,0.202,0,0.881,0.669,174.704,239760,4,"3YeBTR1Q1rUxKguz4jP6UV"
"51","ar","Por Eso Vine","Paulo Londra",12237147,51,"5qN1G8fSHq4Sv5FRoOkNGu","Paulo Londra","3vQ0GE3mI0dAaxIMYe5g7z",0.76,0.646,8,-5.048,0,0.433,0.233,0,0.0905,0.625,188.009,178534,4,"3vQ0GE3mI0dAaxIMYe5g7z"
"52","ar","Chica Paranormal","Paulo Londra",12213703,52,"2r77vqSZkOktTSgmAOoHsV","Paulo Londra","3vQ0GE3mI0dAaxIMYe5g7z",0.84,0.596,6,-4.319,0,0.0918,0.216,0,0.0897,0.71,139.937,221214,4,"3vQ0GE3mI0dAaxIMYe5g7z"
"53","ar","Runaway","Sebastian Yatra",12188424,53,"7BuSE9uTIw931wtZYzvZcQ","Sebastian Yatra;Daddy Yankee;Natti Natasha;Jonas Brothers","07YUOmWljBTXwIseAUd9TW;4VMYDCV2IEDYJArk749S6m;1GDbiv3spRmZ1XdM1jQbT7;7gOdHgIoIKoe4i9Tta6qdD",0.756,0.851,2,-3.33,1,0.0674,0.0336,0,0.126,0.934,75.014,200693,4,"07YUOmWljBTXwIseAUd9TW"
"54","ar","Forever Alone","Paulo Londra",12139306,54,"4b2V2ZuTYELubat4l5qZaE","Paulo Londra","3vQ0GE3mI0dAaxIMYe5g7z",0.883,0.418,7,-8.095,0,0.0735,0.337,4.67e-05,0.164,0.526,129.965,214310,4,"3vQ0GE3mI0dAaxIMYe5g7z"
"55","ar","Tutu","Camilo",11938970,55,"1nocRtwyNPVtGcIJqfgdzZ","Camilo;Pedro Capó","28gNT5KBp7IjEOQoevXf9N;4QVBYiagIaa6ZGSPMbybpy",0.731,0.832,9,-2.592,1,0.0503,0.273,0,0.0665,0.94,146.013,178613,4,"28gNT5KBp7IjEOQoevXf9N"
"56","ar","BEBE","6ix9ine",11663466,56,"4KkUjFkcQvGvWekl8RATDn","6ix9ine;Anuel AA","7gZfnEnfiaHzxARJ2LeXrf;2R21vXR83lH98kGeO99Y66",0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,217822,4,"7gZfnEnfiaHzxARJ2LeXrf"
"57","ar","Bubalu","Becky G",10802244,57,"7dNwJbsT0sg1le5kVugGJb","Becky G;Prince Royce;DJ Luian;Mambo Kingz;Anuel AA","4obzFoKoKRHIphyHzJ35G3;3MHaV05u0io8fQbZ2XPtlC;64aJYyrXljOodnUG6jvhRD;2T1aUibqR2QC2sINIDQOAK;2R21vXR83lH98kGeO99Y66",0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,"4obzFoKoKRHIphyHzJ35G3"
"58","ar","PPP","Kevin Roldan",10603075,58,"1DcxnVNFAyVl2sDQ646pXS","Kevin Roldan","1RBzGO6Nm3uyhUSxP7EDWO",0.786,0.65,4,-6.839,1,0.109,0.363,8.17e-05,0.122,0.712,92.975,129040,4,"1RBzGO6Nm3uyhUSxP7EDWO"
"59","ar","Quiero Volver","TINI",10506461,59,"5NrIX1ozc9LGt19ISgPDIY","TINI;Sebastian Yatra","7vXDAI8JwjW531ouMGbfcp;07YUOmWljBTXwIseAUd9TW",0.672,0.83,2,-4.028,1,0.0599,0.206,0,0.0751,0.774,172.104,183960,4,"7vXDAI8JwjW531ouMGbfcp"
"60","ar","7 rings","Ariana Grande",10501404,60,"14msK75pk3pA33pzPVNtBF","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR",0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4,"66CXWjxzNUsdJxJ2JdwvnR"
"61","ar","bad guy","Billie Eilish",10492336,61,"2Fxmhks0bxGSBdJ92vM42m","Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,"6qqNVTkY8uBg9cP3Jd7DAH"
"62","ar","Contra La Pared","Sean Paul",10472254,62,"37eGbhE1xVFSvcKkqGb6i1","Sean Paul;J Balvin","3Isy6kedDrgPYoTS1dazA9;1vyhD5VmyZ7KMfW5gqLgo5",0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052,224681,4,"3Isy6kedDrgPYoTS1dazA9"
"63","ar","Si Se Da","Myke Towers",10345041,63,"5KbBGUpIZd6gVFUU8tqYiQ","Myke Towers;Farruko","7iK8PXO48WeuP03g8YR51W;329e4yvIujISKGKz1BZZbO",0.83,0.71,11,-5.523,0,0.326,0.374,0,0.0877,0.703,93.977,237013,4,"7iK8PXO48WeuP03g8YR51W"
"64","ar","Sin Pijama","Becky G",10277469,64,"2ijef6ni2amuunRoKTlgww","Becky G;Natti Natasha","4obzFoKoKRHIphyHzJ35G3;1GDbiv3spRmZ1XdM1jQbT7",0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,4,"4obzFoKoKRHIphyHzJ35G3"
"65","ar","QUE PRETENDES","J Balvin",10212086,65,"25ZAibhr3bdlMCLmubZDVt","J Balvin;Bad Bunny","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",0.639,0.791,10,-4.443,0,0.253,0.0275,0,0.362,0.939,92.603,222347,4,"1vyhD5VmyZ7KMfW5gqLgo5"
"66","ar","Shallow","Lady Gaga",9982039,66,"2VxeLyX666F8uXCJ0dZF8B","Lady Gaga;Bradley Cooper","1HY2Jd0NmPuamShAr6KMms;4VIvfOurcf0vuLRxLkGnIG",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4,"1HY2Jd0NmPuamShAr6KMms"
"67","ar","El Efecto","Rauw Alejandro",9960120,67,"4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro;Chencho Corleone","1mcTU81TzQhprhouKaTkpq;37230BxxYs9ksS7OkZw3IU",0.849,0.781,0,-4.635,0,0.159,0.406,0,0.0801,0.893,84.041,217143,4,"1mcTU81TzQhprhouKaTkpq"
"68","ar","Bohemian Rhapsody - Remastered 2011","Queen",9510878,68,"4u7EnebtmKWzUH433cf5Qv","Queen","1dfeR4HaWDbWqFHLkxsg1d",0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,354320,4,"1dfeR4HaWDbWqFHLkxsg1d"
"69","ar","Hitboy","Duki",9410872,69,"624AL3EwsrgGIp6bdwmXgo","Duki;Khea","1bAftSH8umNcGZ0uyV7LMg;4m6ubhNsdwF4psNf3R8kwR",0.812,0.633,8,-6.629,1,0.107,0.153,0,0.122,0.616,150.009,179204,4,"1bAftSH8umNcGZ0uyV7LMg"
"70","ar","Fresa","TINI",9360261,70,"4BCPItsB94KDLuERZT3aNM","TINI;Lalo Ebratt","7vXDAI8JwjW531ouMGbfcp;1GAymyGBvB4gQy5Z5LZ1Wj",0.781,0.866,5,-3.493,0,0.0867,0.216,0,0.101,0.864,95.993,165646,4,"7vXDAI8JwjW531ouMGbfcp"
"71","ar","Nothing On You (feat. Paulo Londra & Dave)","Ed Sheeran",9298990,71,"2qRN7PWiHRLprw4FpDeI9N","Ed Sheeran;Paulo Londra;Dave","6eUKZXaKkcviH0Ku9w2n3V;3vQ0GE3mI0dAaxIMYe5g7z;6Ip8FS7vWT1uKkJSweANQK",0.747,0.649,10,-6.218,0,0.219,0.333,0,0.172,0.84,88.011,200733,4,"6eUKZXaKkcviH0Ku9w2n3V"
"72","ar","Ta To Gucci (Remix)","Cauty",8980689,72,"7kuRvjpeUcn6qNV9IBXC2C","Cauty;Brytiago;Darell;Cosculluela;Rafa Pabön;Chencho Corleone","2QUvtLq6oQaX0LNsYY2fas;00XhexlJEXQstHimpZN910;1TtXnWcUs0FCkaZDPGYHdf;00me4Ke1LsvMxt5kydlMyU;11YLRSsZA3YVuQQtHXKTlz;37230BxxYs9ksS7OkZw3IU",0.73,0.648,1,-6.405,0,0.378,0.383,0.000112,0.103,0.675,187.991,304859,4,"2QUvtLq6oQaX0LNsYY2fas"
